WARNING 2025-07-31 09:29:54,236 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:29:57,956 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:29:57,956 security 27224 8720 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:29:58,001 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:29:59,947 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:00,947 security 27224 8720 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:00,948 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:00,950 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:03,965 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:03,965 security 27224 8720 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:03,967 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:06,959 security 27224 8720 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:06,959 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:06,963 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:07,012 security 27224 8720 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:07,016 security 27224 7812 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:07,036 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:07,055 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:09,962 security 27224 8720 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:09,965 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:09,967 security 27224 7812 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:09,983 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:12,961 security 27224 25648 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:12,962 security 27224 7812 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
WARNING 2025-07-31 09:30:12,963 security 27224 29224 Security Event: suspicious_activity from 127.0.0.1 (user: admin)
